"VOCABULARY_ID","id","ICD_CODE","ICD_DESCRIPTION","PheCode","PheCode_Description"
"ICD10CM",1,"A00","Cholera","008","Intestinal infection"
"ICD10CM",2,"A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae","008","Intestinal infection"
"ICD10CM",3,"A00.1","Cholera due to Vibrio cholerae 01, biovar eltor","008","Intestinal infection"
"ICD10CM",4,"A00.9","Cholera, unspecified","008","Intestinal infection"
"ICD10CM",5,"A01","Typhoid and paratyphoid fevers","008","Intestinal infection"
"ICD9CM",6,"007","Other protozoal intestinal diseases","008","Intestinal infection"
"ICD10CM",7,"A21.3","Gastrointestinal tularemia","008","Intestinal infection"
"ICD9CM",8,"005.9","Food poisoning, unspecified","008","Intestinal infection"
"ICD9CM",9,"006","Amebiasis","008","Intestinal infection"
"ICD9CM",10,"006.0","Acute amebic dysentery without mention of abscess","008","Intestinal infection"
"ICD10CM",11,"A06.5","Amebic lung abscess","008","Intestinal infection"
"ICD9CM",12,"006.2","Amebic nondysenteric colitis","008","Intestinal infection"
"ICD9CM",13,"006.3","Amebic liver abscess","008","Intestinal infection"
"ICD10CM",14,"A01.1","Paratyphoid fever A","008","Intestinal infection"
"ICD10CM",15,"A01.2","Paratyphoid fever B","008","Intestinal infection"
"ICD10CM",16,"A01.3","Paratyphoid fever C","008","Intestinal infection"
"ICD10CM",17,"A01.4","Paratyphoid fever, unspecified","008","Intestinal infection"
"ICD9CM",18,"006.9","Amebiasis, unspecified","008","Intestinal infection"
"ICD10CM",19,"A07","Other protozoal intestinal diseases","008","Intestinal infection"
"ICD9CM",20,"009.0","Infectious colitis, enteritis, and gastroenteritis","008","Intestinal infection"
"ICD10CM",21,"A06.2","Amebic nondysenteric colitis","008","Intestinal infection"
"ICD9CM",22,"007.2","Coccidiosis","008","Intestinal infection"
"ICD9CM",23,"007.3","Intestinal trichomoniasis","008","Intestinal infection"
"ICD10CM",24,"A07.4","Cyclosporiasis","008","Intestinal infection"
"ICD9CM",25,"007.5","Cyclosporiasis","008","Intestinal infection"
"ICD10CM",26,"A06.7","Cutaneous amebiasis","008","Intestinal infection"
"ICD9CM",27,"007.9","Unspecified protozoal intestinal disease","008","Intestinal infection"
"ICD9CM",28,"008","Intestinal infections due to other organisms","008","Intestinal infection"
"ICD10CM",29,"A06.82","Other amebic genitourinary infections","008","Intestinal infection"
"ICD10CM",30,"A06.89","Other amebic infections","008","Intestinal infection"
"ICD10CM",31,"A06.9","Amebiasis, unspecified","008","Intestinal infection"
"ICD10CM",32,"A06","Amebiasis","008","Intestinal infection"
"ICD10CM",33,"A06.0","Acute amebic dysentery","008","Intestinal infection"
"ICD9CM",34,"022.2","Gastrointestinal anthrax","008","Intestinal infection"
"ICD9CM",35,"002.9","Paratyphoid fever, unspecified","008","Intestinal infection"
"ICD10CM",36,"A07.3","Isosporiasis","008","Intestinal infection"
"ICD10CM",37,"A06.4","Amebic liver abscess","008","Intestinal infection"
"ICD9CM",38,"009.2","Infectious diarrhea","008","Intestinal infection"
"ICD9CM",39,"021.1","Enteric tularemia","008","Intestinal infection"
"ICD10CM",40,"A07.9","Protozoal intestinal disease, unspecified","008","Intestinal infection"
"ICD10CM",41,"A22.2","Gastrointestinal anthrax","008","Intestinal infection"
"ICD9CM",42,"001.9","Cholera, unspecified","008","Intestinal infection"
